season,episode,scene,speaker1,speaker2,speaker_pair,num_speaker_pairs,interaction_factor
1,2,11,Phoebe Buffay,Joey Tribbiani,Phoebe Buffay-Joey Tribbiani,15,0.06666666666666667
1,2,11,Monica Geller,Joey Tribbiani,Monica Geller-Joey Tribbiani,15,0.06666666666666667
1,2,11,Rachel Green,Joey Tribbiani,Rachel Green-Joey Tribbiani,15,0.06666666666666667
1,2,11,Chandler Bing,Phoebe Buffay,Chandler Bing-Phoebe Buffay,15,0.06666666666666667
1,2,11,Chandler Bing,Monica Geller,Chandler Bing-Monica Geller,15,0.06666666666666667
1,2,11,Chandler Bing,Rachel Green,Chandler Bing-Rachel Green,15,0.06666666666666667
1,2,11,Phoebe Buffay,Monica Geller,Phoebe Buffay-Monica Geller,15,0.06666666666666667
1,2,11,Rachel Green,Phoebe Buffay,Rachel Green-Phoebe Buffay,15,0.06666666666666667
1,2,11,Rachel Green,Monica Geller,Rachel Green-Monica Geller,15,0.06666666666666667
1,3,1,Phoebe Buffay,#ALL#,Phoebe Buffay-#ALL#,21,0.047619047619047616
1,3,1,Phoebe Buffay,Ross Geller,Phoebe Buffay-Ross Geller,21,0.047619047619047616
1,3,1,Rachel Green,Phoebe Buffay,Rachel Green-Phoebe Buffay,21,0.047619047619047616
1,3,1,Phoebe Buffay,Monica Geller,Phoebe Buffay-Monica Geller,21,0.047619047619047616
1,3,1,Phoebe Buffay,Joey Tribbiani,Phoebe Buffay-Joey Tribbiani,21,0.047619047619047616
1,3,1,Chandler Bing,Phoebe Buffay,Chandler Bing-Phoebe Buffay,21,0.047619047619047616
1,3,1,Ross Geller,#ALL#,Ross Geller-#ALL#,21,0.047619047619047616
1,3,1,Rachel Green,#ALL#,Rachel Green-#ALL#,21,0.047619047619047616
1,3,1,Monica Geller,#ALL#,Monica Geller-#ALL#,21,0.047619047619047616
1,3,1,#ALL#,Joey Tribbiani,#ALL#-Joey Tribbiani,21,0.047619047619047616
1,3,1,Chandler Bing,#ALL#,Chandler Bing-#ALL#,21,0.047619047619047616
1,3,1,Rachel Green,Ross Geller,Rachel Green-Ross Geller,21,0.047619047619047616
1,3,1,Monica Geller,Ross Geller,Monica Geller-Ross Geller,21,0.047619047619047616
1,3,1,Ross Geller,Joey Tribbiani,Ross Geller-Joey Tribbiani,21,0.047619047619047616
1,3,1,Chandler Bing,Ross Geller,Chandler Bing-Ross Geller,21,0.047619047619047616
1,3,1,Rachel Green,Monica Geller,Rachel Green-Monica Geller,21,0.047619047619047616
1,3,1,Rachel Green,Joey Tribbiani,Rachel Green-Joey Tribbiani,21,0.047619047619047616
1,3,1,Chandler Bing,Rachel Green,Chandler Bing-Rachel Green,21,0.047619047619047616
1,3,1,Monica Geller,Joey Tribbiani,Monica Geller-Joey Tribbiani,21,0.047619047619047616
1,3,1,Chandler Bing,Monica Geller,Chandler Bing-Monica Geller,21,0.047619047619047616
1,3,1,Chandler Bing,Joey Tribbiani,Chandler Bing-Joey Tribbiani,21,0.047619047619047616
1,3,2,Chandler Bing,Joey Tribbiani,Chandler Bing-Joey Tribbiani,1,1.0
1,3,3,Monica Geller,Joey Tribbiani,Monica Geller-Joey Tribbiani,21,0.047619047619047616
1,3,3,Monica Geller,Ross Geller,Monica Geller-Ross Geller,21,0.047619047619047616
1,3,3,Rachel Green,Monica Geller,Rachel Green-Monica Geller,21,0.047619047619047616
1,3,3,Monica Geller,#ALL#,Monica Geller-#ALL#,21,0.047619047619047616
1,3,3,Phoebe Buffay,Monica Geller,Phoebe Buffay-Monica Geller,21,0.047619047619047616
1,3,3,Chandler Bing,Monica Geller,Chandler Bing-Monica Geller,21,0.047619047619047616
1,3,3,Ross Geller,Joey Tribbiani,Ross Geller-Joey Tribbiani,21,0.047619047619047616
1,3,3,Rachel Green,Joey Tribbiani,Rachel Green-Joey Tribbiani,21,0.047619047619047616
1,3,3,#ALL#,Joey Tribbiani,#ALL#-Joey Tribbiani,21,0.047619047619047616
1,3,3,Phoebe Buffay,Joey Tribbiani,Phoebe Buffay-Joey Tribbiani,21,0.047619047619047616
1,3,3,Chandler Bing,Joey Tribbiani,Chandler Bing-Joey Tribbiani,21,0.047619047619047616
1,3,3,Rachel Green,Ross Geller,Rachel Green-Ross Geller,21,0.047619047619047616
1,3,3,Ross Geller,#ALL#,Ross Geller-#ALL#,21,0.047619047619047616
1,3,3,Phoebe Buffay,Ross Geller,Phoebe Buffay-Ross Geller,21,0.047619047619047616
1,3,3,Chandler Bing,Ross Geller,Chandler Bing-Ross Geller,21,0.047619047619047616
1,3,3,Rachel Green,#ALL#,Rachel Green-#ALL#,21,0.047619047619047616
1,3,3,Rachel Green,Phoebe Buffay,Rachel Green-Phoebe Buffay,21,0.047619047619047616
1,3,3,Chandler Bing,Rachel Green,Chandler Bing-Rachel Green,21,0.047619047619047616
1,3,3,Phoebe Buffay,#ALL#,Phoebe Buffay-#ALL#,21,0.047619047619047616
1,3,3,Chandler Bing,#ALL#,Chandler Bing-#ALL#,21,0.047619047619047616
1,3,3,Chandler Bing,Phoebe Buffay,Chandler Bing-Phoebe Buffay,21,0.047619047619047616
1,3,5,Ross Geller,Joey Tribbiani,Ross Geller-Joey Tribbiani,21,0.047619047619047616
1,3,5,Monica Geller,Joey Tribbiani,Monica Geller-Joey Tribbiani,21,0.047619047619047616
1,3,5,#ALL#,Joey Tribbiani,#ALL#-Joey Tribbiani,21,0.047619047619047616
1,3,5,Phoebe Buffay,Joey Tribbiani,Phoebe Buffay-Joey Tribbiani,21,0.047619047619047616
1,3,5,Rachel Green,Joey Tribbiani,Rachel Green-Joey Tribbiani,21,0.047619047619047616
1,3,5,Chandler Bing,Joey Tribbiani,Chandler Bing-Joey Tribbiani,21,0.047619047619047616
1,3,5,Monica Geller,Ross Geller,Monica Geller-Ross Geller,21,0.047619047619047616
1,3,5,Ross Geller,#ALL#,Ross Geller-#ALL#,21,0.047619047619047616
1,3,5,Phoebe Buffay,Ross Geller,Phoebe Buffay-Ross Geller,21,0.047619047619047616
1,3,5,Rachel Green,Ross Geller,Rachel Green-Ross Geller,21,0.047619047619047616
1,3,5,Chandler Bing,Ross Geller,Chandler Bing-Ross Geller,21,0.047619047619047616
1,3,5,Monica Geller,#ALL#,Monica Geller-#ALL#,21,0.047619047619047616
1,3,5,Phoebe Buffay,Monica Geller,Phoebe Buffay-Monica Geller,21,0.047619047619047616
1,3,5,Rachel Green,Monica Geller,Rachel Green-Monica Geller,21,0.047619047619047616
1,3,5,Chandler Bing,Monica Geller,Chandler Bing-Monica Geller,21,0.047619047619047616
1,3,5,Phoebe Buffay,#ALL#,Phoebe Buffay-#ALL#,21,0.047619047619047616
1,3,5,Rachel Green,#ALL#,Rachel Green-#ALL#,21,0.047619047619047616
1,3,5,Chandler Bing,#ALL#,Chandler Bing-#ALL#,21,0.047619047619047616
1,3,5,Rachel Green,Phoebe Buffay,Rachel Green-Phoebe Buffay,21,0.047619047619047616
1,3,5,Chandler Bing,Phoebe Buffay,Chandler Bing-Phoebe Buffay,21,0.047619047619047616
1,3,5,Chandler Bing,Rachel Green,Chandler Bing-Rachel Green,21,0.047619047619047616
1,3,6,Monica Geller,Ross Geller,Monica Geller-Ross Geller,15,0.06666666666666667
1,3,6,Monica Geller,#ALL#,Monica Geller-#ALL#,15,0.06666666666666667
1,3,6,Monica Geller,Joey Tribbiani,Monica Geller-Joey Tribbiani,15,0.06666666666666667
1,3,6,Rachel Green,Monica Geller,Rachel Green-Monica Geller,15,0.06666666666666667
1,3,6,Chandler Bing,Monica Geller,Chandler Bing-Monica Geller,15,0.06666666666666667
1,3,6,Ross Geller,#ALL#,Ross Geller-#ALL#,15,0.06666666666666667
1,3,6,Ross Geller,Joey Tribbiani,Ross Geller-Joey Tribbiani,15,0.06666666666666667
1,3,6,Rachel Green,Ross Geller,Rachel Green-Ross Geller,15,0.06666666666666667
1,3,6,Chandler Bing,Ross Geller,Chandler Bing-Ross Geller,15,0.06666666666666667
1,3,6,#ALL#,Joey Tribbiani,#ALL#-Joey Tribbiani,15,0.06666666666666667
